shopping-basket  11 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/shopping-basket.svg)
    2.31  line/vertical        from <path>  d=M4 21L4 3
cross  24 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/cross.svg)
     0.0  arc/quarter-circle   from <path>  d=M4 9A2 2 0 0 0 2 11
     0.1  line/vertical        from <path>  d=M2 11L2 13
     0.2  arc/quarter-circle   from <path>  d=M2 13A2 2 0 0 0 4 15
     0.3  line/horizontal      from <path>  d=M4 15L8 15
     0.4  arc/quarter-circle   from <path>  d=M8 15A1 1 0 0 1 9 16
     0.5  line/vertical        from <path>  d=M9 16L9 20
     0.6  arc/quarter-circle   from <path>  d=M9 20A2 2 0 0 0 11 22
     0.7  line/horizontal      from <path>  d=M11 22L13 22
     0.8  arc/quarter-circle   from <path>  d=M13 22A2 2 0 0 0 15 20
     0.9  line/vertical        from <path>  d=M15 20L15 16
    0.10  arc/quarter-circle   from <path>  d=M15 16A1 1 0 0 1 16 15
    0.11  line/horizontal      from <path>  d=M16 15L20 15
    0.12  arc/quarter-circle   from <path>  d=M20 15A2 2 0 0 0 22 13
    0.13  line/vertical        from <path>  d=M22 13L22 11
    0.14  arc/quarter-circle   from <path>  d=M22 11A2 2 0 0 0 20 9
    0.15  line/horizontal      from <path>  d=M20 9L16 9
    0.16  arc/quarter-circle   from <path>  d=M16 9A1 1 0 0 1 15 8
    0.17  line/vertical        from <path>  d=M15 8L15 4
    0.18  arc/quarter-circle   from <path>  d=M15 4A2 2 0 0 0 13 2
    0.19  line/horizontal      from <path>  d=M13 2L11 2
    0.20  arc/quarter-circle   from <path>  d=M11 2A2 2 0 0 0 9 4
    0.21  line/vertical        from <path>  d=M9 4L9 8
    0.22  arc/quarter-circle   from <path>  d=M9 8A1 1 0 0 1 8 9
    0.23  line/horizontal      from <path>  d=M8 9L4 9
credit-card  9 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/credit-card.svg)
     0.0  line/horizontal      from <rect>  d=M4 5L20 5
     0.1  arc/quarter-circle   from <rect>  d=M20 5A2 2 0 0 1 22 7
     0.2  line/vertical        from <rect>  d=M22 7L22 17
     0.3  arc/quarter-circle   from <rect>  d=M22 17A2 2 0 0 1 20 19
     0.4  line/horizontal      from <rect>  d=M20 19L4 19
     0.5  arc/quarter-circle   from <rect>  d=M4 19A2 2 0 0 1 2 17
     0.6  line/vertical        from <rect>  d=M2 17L2 7
     0.7  arc/quarter-circle   from <rect>  d=M2 7A2 2 0 0 1 4 5
     1.0  line/horizontal      from <line>  d=M2 10L22 10
store  22 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/store.svg)
     0.0  line/vertical        from <path>  d=M15 21L15 16
     0.1  arc/quarter-circle   from <path>  d=M15 16A1 1 0 0 0 14 15
     0.2  line/horizontal      from <path>  d=M14 15L10 15
     0.3  arc/quarter-circle   from <path>  d=M10 15A1 1 0 0 0 9 16
     0.4  line/vertical        from <path>  d=M9 16L9 21
     1.0  arc/circular         from <path>  d=M17.774 10.31A1.12 1.12 0 0 0 16.225 10.31
     1.1  arc/circular         from <path>  d=M16.225 10.31A2.5 2.5 0 0 1 12.774 10.31
     1.2  arc/circular         from <path>  d=M12.774 10.31A1.12 1.12 0 0 0 11.226 10.31
     1.3  arc/circular         from <path>  d=M11.226 10.31A2.5 2.5 0 0 1 7.774 10.31
     1.4  arc/circular         from <path>  d=M7.774 10.31A1.12 1.12 0 0 0 6.225 10.31
     1.5  arc/circular         from <path>  d=M6.225 10.31A2.5 2.5 0 0 1 2.455 7.062
     1.6  line/diagonal        from <path>  d=M2.455 7.062L5.344 2.878
     1.7  arc/circular         from <path>  d=M5.344 2.878A2 2 0 0 1 7 2
     1.8  line/horizontal      from <path>  d=M7 2L17 2
     1.9  arc/circular         from <path>  d=M17 2A2 2 0 0 1 18.653 2.873
    1.10  line/diagonal        from <path>  d=M18.653 2.873L21.548 7.065
    1.11  arc/circular         from <path>  d=M21.548 7.065A2.5 2.5 0 0 1 17.774 10.309
     2.0  line/vertical        from <path>  d=M4 10.95L4 19
     2.1  arc/quarter-circle   from <path>  d=M4 19A2 2 0 0 0 6 21
     2.2  line/horizontal      from <path>  d=M6 21L18 21
     2.3  arc/quarter-circle   from <path>  d=M18 21A2 2 0 0 0 20 19
     2.4  line/vertical        from <path>  d=M20 19L20 10.95
luggage  21 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/luggage.svg)
     0.0  arc/quarter-circle   from <path>  d=M6 20A2 2 0 0 1 4 18
     0.1  line/vertical        from <path>  d=M4 18L4 8
     0.2  arc/quarter-circle   from <path>  d=M4 8A2 2 0 0 1 6 6
     0.3  line/horizontal      from <path>  d=M6 6L18 6
     0.4  arc/quarter-circle   from <path>  d=M18 6A2 2 0 0 1 20 8
     0.5  line/vertical        from <path>  d=M20 8L20 18
     0.6  arc/quarter-circle   from <path>  d=M20 18A2 2 0 0 1 18 20
     1.0  line/vertical        from <path>  d=M8 18L8 4
     1.1  arc/quarter-circle   from <path>  d=M8 4A2 2 0 0 1 10 2
     1.2  line/horizontal      from <path>  d=M10 2L14 2
     1.3  arc/quarter-circle   from <path>  d=M14 2A2 2 0 0 1 16 4
     1.4  line/vertical        from <path>  d=M16 4L16 18
     2.0  line/horizontal      from <path>  d=M10 20L14 20
     3.0  arc/quarter-circle   from <circle>  d=M18 20A2 2 0 0 1 16 22
     3.1  arc/quarter-circle   from <circle>  d=M16 22A2 2 0 0 1 14 20
     3.2  arc/quarter-circle   from <circle>  d=M14 20A2 2 0 0 1 16 18
     3.3  arc/quarter-circle   from <circle>  d=M16 18A2 2 0 0 1 18 20
     4.0  arc/quarter-circle   from <circle>  d=M10 20A2 2 0 0 1 8 22
     4.1  arc/quarter-circle   from <circle>  d=M8 22A2 2 0 0 1 6 20
     4.2  arc/quarter-circle   from <circle>  d=M6 20A2 2 0 0 1 8 18
     4.3  arc/quarter-circle   from <circle>  d=M8 18A2 2 0 0 1 10 20
gift  18 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/gift.svg)
     0.0  line/vertical        from <path>  d=M12 7L12 21
     1.0  line/vertical        from <path>  d=M20 11L20 19
     1.1  arc/quarter-circle   from <path>  d=M20 19A2 2 0 0 1 18 21
     1.2  line/horizontal      from <path>  d=M18 21L6 21
     1.3  arc/quarter-circle   from <path>  d=M6 21A2 2 0 0 1 4 19
     1.4  line/vertical        from <path>  d=M4 19L4 11
     2.0  arc/circular         from <path>  d=M7.5 7A2.5 2.5 0 0 1 7.5 2
     2.1  arc/elliptical       from <path>  d=M7.5 2A4.8 8 0 0 1 12 7
     2.2  arc/elliptical       from <path>  d=M12 7A4.8 8 0 0 1 16.5 2
     2.3  arc/circular         from <path>  d=M16.5 2A2.5 2.5 0 0 1 16.5 7
     3.0  line/horizontal      from <rect>  d=M4 7L20 7
     3.1  arc/quarter-circle   from <rect>  d=M20 7A1 1 0 0 1 21 8
     3.2  line/vertical        from <rect>  d=M21 8L21 10
     3.3  arc/quarter-circle   from <rect>  d=M21 10A1 1 0 0 1 20 11
     3.4  line/horizontal      from <rect>  d=M20 11L4 11
     3.5  arc/quarter-circle   from <rect>  d=M4 11A1 1 0 0 1 3 10
     3.6  line/vertical        from <rect>  d=M3 10L3 8
     3.7  arc/quarter-circle   from <rect>  d=M3 8A1 1 0 0 1 4 7
star  20 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/star.svg)
     0.0  arc/circular         from <path>  d=M11.525 2.295A0.53 0.53 0 0 1 12.475 2.295
     0.1  line/diagonal        from <path>  d=M12.475 2.295L14.785 6.974
     0.2  arc/circular         from <path>  d=M14.785 6.974A2.123 2.123 0 0 0 16.38 8.134
     0.3  line/diagonal        from <path>  d=M16.38 8.134L21.546 8.89
     0.4  arc/circular         from <path>  d=M21.546 8.89A0.53 0.53 0 0 1 21.84 9.794
     0.5  line/diagonal        from <path>  d=M21.84 9.794L18.104 13.432
     0.6  arc/circular         from <path>  d=M18.104 13.432A2.123 2.123 0 0 0 17.493 15.31
     0.7  line/diagonal        from <path>  d=M17.493 15.31L18.375 20.45
     0.8  arc/circular         from <path>  d=M18.375 20.45A0.53 0.53 0 0 1 17.604 21.01
     0.9  line/diagonal        from <path>  d=M17.604 21.01L12.986 18.582
    0.10  arc/circular         from <path>  d=M12.986 18.582A2.122 2.122 0 0 0 11.013 18.582
    0.11  line/diagonal        from <path>  d=M11.013 18.582L6.396 21.01
    0.12  arc/circular         from <path>  d=M6.396 21.01A0.53 0.53 0 0 1 5.626 20.45
    0.13  line/diagonal        from <path>  d=M5.626 20.45L6.507 15.311
    0.14  arc/circular         from <path>  d=M6.507 15.311A2.122 2.122 0 0 0 5.896 13.432
    0.15  line/diagonal        from <path>  d=M5.896 13.432L2.16 9.795
    0.16  arc/circular         from <path>  d=M2.16 9.795A0.53 0.53 0 0 1 2.454 8.889
    0.17  line/diagonal        from <path>  d=M2.454 8.889L7.619 8.134
    0.18  arc/circular         from <path>  d=M7.619 8.134A2.122 2.122 0 0 0 9.216 6.974
    0.19  line/diagonal        from <path>  d=M9.216 6.974L11.525 2.295
watch  16 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/watch.svg)
     0.0  line/vertical        from <path>  d=M12 10L12 12.2
     0.1  line/diagonal        from <path>  d=M12 12.2L13.6 13.2
     1.0  line/diagonal        from <path>  d=M16.13 7.66L15.32 3.61
     1.1  arc/circular         from <path>  d=M15.32 3.61A2 2 0 0 0 13.32 2
     1.2  line/horizontal      from <path>  d=M13.32 2L10.64 2
     1.3  arc/circular         from <path>  d=M10.64 2A2 2 0 0 0 8.64 3.61
     1.4  line/diagonal        from <path>  d=M8.64 3.61L7.86 7.66
     2.0  line/diagonal        from <path>  d=M7.88 16.36L8.68 20.36
     2.1  arc/circular         from <path>  d=M8.68 20.36A2 2 0 0 0 10.68 21.97
     2.2  line/horizontal      from <path>  d=M10.68 21.97L13.4 21.97
     2.3  arc/circular         from <path>  d=M13.4 21.97A2 2 0 0 0 15.4 20.36
     2.4  line/diagonal        from <path>  d=M15.4 20.36L16.21 16.31
     3.0  arc/quarter-circle   from <circle>  d=M18 12A6 6 0 0 1 12 18
     3.1  arc/quarter-circle   from <circle>  d=M12 18A6 6 0 0 1 6 12
     3.2  arc/quarter-circle   from <circle>  d=M6 12A6 6 0 0 1 12 6
     3.3  arc/quarter-circle   from <circle>  d=M12 6A6 6 0 0 1 18 12
refresh-cw  10 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/refresh-cw.svg)
     0.0  arc/quarter-circle   from <path>  d=M3 12A9 9 0 0 1 12 3
     0.1  arc/circular         from <path>  d=M12 3A9.75 9.75 0 0 1 18.74 5.74
     0.2  line/diagonal        from <path>  d=M18.74 5.74L21 8
     1.0  line/vertical        from <path>  d=M21 3L21 8
     1.1  line/horizontal      from <path>  d=M21 8L16 8
     2.0  arc/quarter-circle   from <path>  d=M21 12A9 9 0 0 1 12 21
     2.1  arc/circular         from <path>  d=M12 21A9.75 9.75 0 0 1 5.26 18.26
     2.2  line/diagonal        from <path>  d=M5.26 18.26L3 16
     3.0  line/horizontal      from <path>  d=M8 16L3 16
     3.1  line/vertical        from <path>  d=M3 16L3 21
file-stack  20 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/file-stack.svg)
     0.0  arc/quarter-circle   from <path>  d=M11 21A1 1 0 0 1 10 22
     0.1  line/horizontal      from <path>  d=M10 22L4 22
     0.2  arc/quarter-circle   from <path>  d=M4 22A1 1 0 0 1 3 21
     0.3  line/vertical        from <path>  d=M3 21L3 13
     0.4  arc/quarter-circle   from <path>  d=M3 13A1 1 0 0 1 4 12
     1.0  arc/quarter-circle   from <path>  d=M16 16A1 1 0 0 1 15 17
     1.1  line/horizontal      from <path>  d=M15 17L9 17
     1.2  arc/quarter-circle   from <path>  d=M9 17A1 1 0 0 1 8 16
     1.3  line/vertical        from <path>  d=M8 16L8 8
     1.4  arc/quarter-circle   from <path>  d=M8 8A1 1 0 0 1 9 7
     2.0  arc/circular         from <path>  d=M21 6A2 2 0 0 0 20.414 4.586
     2.1  line/diagonal        from <path>  d=M20.414 4.586L18.414 2.586
     2.2  arc/circular         from <path>  d=M18.414 2.586A2 2 0 0 0 17 2
     2.3  line/horizontal      from <path>  d=M17 2L14 2
     2.4  arc/quarter-circle   from <path>  d=M14 2A1 1 0 0 0 13 3
     2.5  line/vertical        from <path>  d=M13 3L13 11
     2.6  arc/quarter-circle   from <path>  d=M13 11A1 1 0 0 0 14 12
     2.7  line/horizontal      from <path>  d=M14 12L20 12
     2.8  arc/quarter-circle   from <path>  d=M20 12A1 1 0 0 0 21 11
     2.9  line/vertical        from <path>  d=M21 11L21 6
smartphone  9 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/smartphone.svg)
     0.0  line/horizontal      from <rect>  d=M7 2L17 2
     0.1  arc/quarter-circle   from <rect>  d=M17 2A2 2 0 0 1 19 4
     0.2  line/vertical        from <rect>  d=M19 4L19 20
     0.3  arc/quarter-circle   from <rect>  d=M19 20A2 2 0 0 1 17 22
     0.4  line/horizontal      from <rect>  d=M17 22L7 22
     0.5  arc/quarter-circle   from <rect>  d=M7 22A2 2 0 0 1 5 20
     0.6  line/vertical        from <rect>  d=M5 20L5 4
     0.7  arc/quarter-circle   from <rect>  d=M5 4A2 2 0 0 1 7 2
     1.0  line/horizontal      from <path>  d=M12 18L12.01 18
flag  11 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/flag.svg)
     0.0  line/vertical        from <path>  d=M4 22L4 4
     0.1  arc/circular         from <path>  d=M4 4A1 1 0 0 1 4.4 3.2
     0.2  arc/circular         from <path>  d=M4.4 3.2A6 6 0 0 1 8 2
     0.3  cubic                from <path>  d=M8 2C11 2 13 4 15.333 4
     0.4  quad                 from <path>  d=M15.333 4Q17.333 4 18.4 3.2
     0.5  arc/circular         from <path>  d=M18.4 3.2A1 1 0 0 1 20 4
     0.6  line/vertical        from <path>  d=M20 4L20 14
     0.7  arc/circular         from <path>  d=M20 14A1 1 0 0 1 19.6 14.8
     0.8  arc/circular         from <path>  d=M19.6 14.8A6 6 0 0 1 16 16
     0.9  cubic                from <path>  d=M16 16C13 16 11 14 8 14
    0.10  arc/circular         from <path>  d=M8 14A6 6 0 0 0 4 15.528
droplet  6 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/droplet.svg)
     0.0  arc/quarter-circle   from <path>  d=M12 22A7 7 0 0 0 19 15
     0.1  cubic                from <path>  d=M19 15C19 13 18 11.1 16 9.5
     0.2  cubic                from <path>  d=M16 9.5C14 7.9 12.5 5.5 12 3
     0.3  cubic                from <path>  d=M12 3C11.5 5.5 10 7.9 8 9.5
     0.4  cubic                from <path>  d=M8 9.5C6 11.1 5 13 5 15
     0.5  arc/quarter-circle   from <path>  d=M5 15A7 7 0 0 0 12 22
container  17 segments  (/Applications/Workspaces/pictographic/claude_skills/icon_set/references/lucide/atomic-debug/container.svg)
     0.0  cubic                from <path>  d=M22 7.7C22 7.1 21.6 6.5 21.2 6.2
     0.1  line/diagonal        from <path>  d=M21.2 6.2L14.9 2.3
     0.2  arc/circular         from <path>  d=M14.9 2.3A1.72 1.72 0 0 0 13.2 2.3
     0.3  line/diagonal        from <path>  d=M13.2 2.3L2.9 8.3
     0.4  cubic                from <path>  d=M2.9 8.3C2.4 8.5 2 9.1 2 9.7
     0.5  line/vertical        from <path>  d=M2 9.7L2 16.3
     0.6  cubic                from <path>  d=M2 16.3C2 16.8 2.4 17.5 2.8 17.8
     0.7  line/diagonal        from <path>  d=M2.8 17.8L9.1 21.7
     0.8  arc/circular         from <path>  d=M9.1 21.7A1.72 1.72 0 0 0 10.8 21.7
     0.9  line/diagonal        from <path>  d=M10.8 21.7L21.1 15.7
    0.10  cubic                from <path>  d=M21.1 15.7C21.6 15.4 22 14.7 22 14.2
    0.11  line/vertical        from <path>  d=M22 14.2L22 7.7
     1.0  line/vertical        from <path>  d=M10 21.9L10 14
     1.1  line/diagonal        from <path>  d=M10 14L2.1 9.1
     2.0  line/diagonal        from <path>  d=M10 14L21.9 7.1
     3.0  line/vertical        from <path>  d=M14 19.8L14 11.7
     4.0  line/vertical        from <path>  d=M18 17.5L18 9.4
